ปีการศึกษา 2558 ภาคการเรียนที่ 1,,,,,,,,
ชื่อวิชา,หน่วยกิต,เกรด (ตัวอักษร),เกรด (ตัวเลข),,คะแนนเฉลี่ย,หน่วยกิตที่ลง,หน่วยกิตที่ได้,แต้มระดับคะแนน
010123101 INTRODUCTION TO COMPUTER,1,B+,3.5,ประจำภาค,3.80,18,18,68.5
010123102 PROGRAMMING FUNDAMENTALS,3,A,4,สะสม,3.80,18,18,68.5
040203111 ENGINEERING MATHEMATICS I,3,B+,3.5,,,,,
040313005 PHYSICS I,3,A,4,,,,,
040313006 PHYSICS LABORATORY I,1,A,4,,,,,
080103001 ENGLISH I,3,A,4,,,,,
080203901 MAN AND SOCIETY,3,B+,3.5,,,,,
080303505 TABLE TENNIS,1,A,4,,,,,
ปีการศึกษา 2558 ภาคการเรียนที่ 2,,,,,,,,
ชื่อวิชา,หน่วยกิต,เกรด (ตัวอักษร),เกรด (ตัวเลข),,คะแนนเฉลี่ย,หน่วยกิตที่ลง,หน่วยกิตที่ได้,แต้มระดับคะแนน
010113010 ELECTRIC CIRCUIT THEORY,3,B+,3.5,ประจำภาค,3.72,18,18,67.0
010113011 ELECTRIC CIRCUIT LABORATORY,1,A,4,สะสม,3.76,36,36,135.5
010123103 ALGORITHMS AND DATA STRUCTURES,3,A,4,,,,,
040203112 ENGINEERING MATHEMATICS II,3,B+,3.5,,,,,
040313007 PHYSICS II,3,B+,3.5,,,,,
040313008 PHYSICS LABORATORY II,1,A,4,,,,,
080103002 ENGLISH II,3,A,4,,,,,
080303501 BASKETBALL,1,B+,3.5,,,,,
ปีการศึกษา 2559 ภาคการเรียนที่ 1,,,,,,,,
ชื่อวิชา,หน่วยกิต,เกรด (ตัวอักษร),เกรด (ตัวเลข),,คะแนนเฉลี่ย,หน่วยกิตที่ลง,หน่วยกิตที่ได้,แต้มระดับคะแนน
010123104 DISCRETE MATHEMATICS,3,C+,2.5,ประจำภาค,3.47,19,19,66.0
010123105 STATISTICS FOR COMPUTER ENGINEERINGS,3,B,3,สะสม,3.66,55,55,201.5
010123106 INTRODUCTION TO SIGNALS AND SYSTEMS,3,B+,3.5,,,,,
010123107 LOGIC DESIGN OF DIGITAL SYSTEMS,3,A,4,,,,,
010123108 DIGITAL SYSTEM DESIGN LABORATORY,1,B,3,,,,,
010123109 BUILDING SOFTWARE SYSTEMS I,3,A,4,,,,,
040313016 PHYSICS IN DAILY LIFE,3,A,4,,,,,
ปีการศึกษา 2559 ภาคการเรียนที่ 2,,,,,,,,
ชื่อวิชา,หน่วยกิต,เกรด (ตัวอักษร),เกรด (ตัวเลข),,คะแนนเฉลี่ย,หน่วยกิตที่ลง,หน่วยกิตที่ได้,แต้มระดับคะแนน
010123110 BUILDING SOFTWARE SYSTEMS II,3,A,4,ประจำภาค,2.91,18,18,52.5
010123111 HIGH LEVEL DESIGN FOR DIGITAL SYSTEMS,3,B,3,สะสม,3.47,73,73,254.0
010123112 COMPUTER ORGANIZATION,3,B+,3.5,,,,,
010123113 DATA COMMUNICATIONS,3,C,2,,,,,
010123114 ANALOG AND DIGITAL ELECTRONICS,3,D+,1.5,,,,,
040203100 GENERAL MATHEMATICS,3,B+,3.5,,,,,
ปีการศึกษา 2560 ภาคการเรียนที่ 1,,,,,,,,
ชื่อวิชา,หน่วยกิต,เกรด (ตัวอักษร),เกรด (ตัวเลข),,คะแนนเฉลี่ย,หน่วยกิตที่ลง,หน่วยกิตที่ได้,แต้มระดับคะแนน
010123115 ANALOG AND DIGITAL ELECTRONICS LABORATORY,1,A,4,ประจำภาค,3.71,16,16,59.5
010123116 SOFTWARE ENGINEERING,3,A,4,สะสม,3.52,89,89,313.5
010123117 OPERATING SYSTEMS,3,B,3,,,,,
010123118 COMPUTER NETWORKS,3,A,4,,,,,
010123119 EMBEDDED SYSTEM DESIGN,3,A,4,,,,,
080103016 ENGLISH CONVERSATION I,3,B+,3.5,,,,,